H,S,V,type
23,24,43,Cool
23,24,43,Cool
23,30,44,Cool
23,30,44,Cool
24,36,46,Cool
24,36,46,Cool
25,15,46,Cool
24,41,47,Cool
24,41,47,Cool
24,21,48,Cool
25,47,48,Cool
25,47,48,Cool
25,27,49,Cool
25,52,49,Cool
25,56,50,Cool
24,33,51,Cool
25,13,51,Cool
25,13,51,Cool
24,37,52,Cool
24,19,53,Cool
24,19,53,Cool
25,42,53,Cool
25,46,54,Cool
25,25,54,Cool
25,25,54,Cool
25,29,55,Cool
25,29,55,Cool
21,12,56,Cool
21,12,56,Cool
25,35,57,Cool
25,35,57,Cool
25,18,58,Cool
25,18,58,Cool
25,39,58,Cool
25,39,58,Cool
25,23,59,Cool
25,23,59,Cool
23,12,61,Cool
23,12,61,Cool
25,32,62,Cool
25,32,62,Cool
23,16,63,Cool
23,16,63,Cool
24,21,64,Cool
24,21,64,Cool
25,40,65,Cool
25,26,66,Cool
25,26,66,Cool
23,11,66,Cool
23,11,66,Cool
25,13,78,Cool
25,13,78,Cool
25,12,83,Cool
25,12,83,Cool
26,60,51,Warm
26,64,52,Warm
26,67,53,Warm
27,72,54,Warm
29,76,54,Warm
26,51,55,Warm
26,55,57,Warm
27,59,57,Warm
27,63,58,Warm
27,67,59,Warm
26,43,59,Warm
28,71,60,Warm
26,47,60,Warm
26,27,60,Warm
26,27,60,Warm
26,51,62,Warm
27,55,63,Warm
26,36,63,Warm
26,36,63,Warm
27,59,64,Warm
28,63,65,Warm
28,67,66,Warm
26,44,66,Warm
27,48,67,Warm
26,30,67,Warm
26,30,67,Warm
27,51,68,Warm
27,16,68,Warm
27,16,68,Warm
26,33,68,Warm
26,33,68,Warm
27,55,69,Warm
26,20,69,Warm
26,20,69,Warm
26,38,70,Warm
27,59,70,Warm
28,62,71,Warm
26,41,71,Warm
26,24,71,Warm
26,24,71,Warm
27,10,71,Warm
27,10,71,Warm
27,45,72,Warm
26,28,72,Warm
26,28,72,Warm
27,15,73,Warm
27,15,73,Warm
27,49,73,Warm
26,32,74,Warm
26,32,74,Warm
27,52,75,Warm
26,18,75,Warm
26,18,75,Warm
26,35,75,Warm
27,55,76,Warm
26,39,76,Warm
26,23,76,Warm
26,23,76,Warm
28,59,77,Warm
27,9,77,Warm
27,9,77,Warm
26,42,78,Warm
26,27,78,Warm
26,27,78,Warm
27,46,79,Warm
26,30,79,Warm
26,30,79,Warm
26,17,80,Warm
26,17,80,Warm
27,49,80,Warm
26,34,80,Warm
27,52,81,Warm
26,21,81,Warm
26,21,81,Warm
26,37,82,Warm
27,9,82,Warm
27,9,82,Warm
28,55,82,Warm
27,40,83,Warm
26,25,83,Warm
26,25,83,Warm
27,44,84,Warm
26,29,84,Warm
26,29,84,Warm
26,16,85,Warm
26,16,85,Warm
27,47,86,Warm
27,32,86,Warm
27,32,86,Warm
28,50,86,Warm
26,20,86,Warm
26,20,86,Warm
27,36,87,Warm
27,36,87,Warm
28,9,87,Warm
28,9,87,Warm
28,53,88,Warm
26,24,88,Warm
26,24,88,Warm
27,39,88,Warm
27,39,88,Warm
27,12,89,Warm
27,12,89,Warm
27,42,89,Warm
27,42,89,Warm
27,27,89,Warm
27,27,89,Warm
27,16,90,Warm
27,16,90,Warm
27,45,91,Warm
27,45,91,Warm
28,31,91,Warm
28,31,91,Warm
28,47,92,Warm
28,47,92,Warm
27,20,92,Warm
27,20,92,Warm
27,34,92,Warm
27,34,92,Warm
27,8,92,Warm
27,8,92,Warm
28,50,93,Warm
28,50,93,Warm
27,23,93,Warm
27,23,93,Warm
27,37,94,Warm
27,37,94,Warm
29,53,94,Warm
26,12,94,Warm
26,12,94,Warm
28,40,95,Warm
28,40,95,Warm
28,27,95,Warm
28,27,95,Warm
29,56,95,Warm
28,16,96,Warm
28,16,96,Warm
29,58,96,Warm
28,42,96,Warm
28,42,96,Warm
29,61,97,Warm
27,30,97,Warm
27,30,97,Warm
28,46,97,Warm
28,46,97,Warm
27,19,97,Warm
27,19,97,Warm
27,33,98,Warm
27,33,98,Warm
27,8,98,Warm
27,8,98,Warm
29,49,98,Warm
29,49,98,Warm
28,36,99,Warm
28,36,99,Warm
27,23,99,Warm
27,23,99,Warm
27,11,100,Warm
27,11,100,Warm
28,51,100,Warm
